Informações práticas para validação do GTIN,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Prefixo GS1,,,,,,,,,,,,
,,"O ""Prefixo GS1"" identifica a entidade GS1 que concedeu a faixa de códigos para a empresa usar na identificação dos seus produtos.",,,,,,,,,,,
,,"Este Prefixo é composto por 3 algarismos, que constam no início do código GTIN do produto.",,,,,,,,,,,
,,"Normalmente o ""Prefixo GS1"" leva a identificação de um determinado País.",,,,,,,,,,,
,,,,,,,,,,,,,
,,"Como Identificar o ""Prefixo GS1""",,,,,,,,,,,
,,,"O GTIN pode possuir 8, 12, 13 ou 14 algarismos, e segue abaixo uma forma prática de identificar o ""Prefixo GS1"":",,,,,,,,,,
,,,,"- Normalizar o tamanho do campo em 14 posições numéricas, com zeros não significativos;",,,,,,,,,
,,,,- Se primeiras 6 posições = Zeros ==> GTIN-8,,,,,,,,,
,,,,,-Prefixo GS1: posições 7 a 9 do GTIN normalizado;,,,,,,,,
,,,,- Se primeiras 6 posições <> Zeros,,,,,,,,,
,,,,,-Prefixo GS1: posições 2 a 4 do GTIN normalizado;,,,,,,,,
,,,,,,,,,,,,,
,,,"Obs.: O GTIN-14 na verdade é uma variação do GTIN-13, onde a primeira posição deste código identifica um agrupamento dos",,,,,,,,,,
,,,,,produtos identificados pelo GTIN de nível inferior. O primeiro algarismo do GTIN-14 não pode ser zero.,,,,,,,,
,,,,,,,,,,,,,
,,Prefixo GS1 identificando um País,,,,,,,,,,,
,,,"O ""Prefixo GS1"" identifica uma entidade GS1 associada e normalmente isso identifica também um País.",,,,,,,,,,
,,,"Existem casos especiais, onde o prefixo GS1 não identifica um País, por exemplo:",,,,,,,,,,
,,,,"- Faixa de códigos GTIN que podem ser usados dentro da empresa, para qualquer empresa;",,,,,,,,,
,,,,"- Faixa de códigos GTIN para Jornais, Revistas periódicas e Livros, não identificando um País;",,,,,,,,,
,,,,- Outros,,,,,,,,,
,,,,,,,,,,,,,
,,"Como validar o ""Prefixo GS1""",,,,,,,,,,,
,,,"Existem vários ""Prefixo GS1"" sem uso, prevendo uma possível expansão desta codificação para outros Países, outros controles.",,,,,,,,,,
,,,"Nesta mesma planilha, na aba ""Prefixo GS1"", constam as faixas de ""Prefixo GS1"" que são válidas.",,,,,,,,,,
,,,,,,,,,,,,,
,,,"Para um determinado GTIN informado, pode ser verificado se o ""Prefixo GS1"" é válido, conforme segue:",,,,,,,,,,
,,,,"- Normalizar o tamanho do campo GTIN em 14 posições, conforme descrito anteriormente;",,,,,,,,,
,,,,"- Identificar o Prefixo ""GS1"" dentro do GTIN normalizado;",,,,,,,,,
,,,,"- Verificar se o ""Prefixo GS1"" é válido, consultando as faixas de prefixos válidos (ver aba ""Prefixo GS1"").",,,,,,,,,
,,,,,,,,,,,,,
,,,"Obs.: Unicamente para ilustrução, na tabela de faixas de ""Prefixo GS1"" válidos, foi incluída uma coluna para identificar as faixas de ",,,,,,,,,,
,,,,,"Prefixo especial, que não identificam um País a partir do GTIN informado.",,,,,,,,
