Grupo/Código,Descrição,Valor Deduzido,Fat Conjunto,Fat Centralizado
060,Saneamento,,,
0601001,Água,,,
0601002,Esgoto,,,
0601003,Resíduos,,,
061,Serviços Acessórios,,,
0611001,Serviços Acessórios Água,,,
0611002,Serviços Acessórios Esgoto,,,
062,Serviços de Terceiros,,,
0621001,Serviços de Terceiros,,,
063,Demais Receitas do Contrato de Concessão,,,
0631001,Demais Receitas do Contrato de Concessão,,,
064,Outros Serviços,,,
0641001,Outros Serviços,,,
065,Acréscimos Finaiceiros,,,
0651001,Multa,,,
0651002,Juros,,,
0651003,Correção Monetária,,,
0651004,Outros acréscimos,,,
070,Negociações,,,
0701001,Parcelamento,,,
080,Cobranças Especiais,,,
0801001,Subvenção econômica/Subsidio,,,
0801002,Cobranças de taxas especiais,,,
0801003,Outras Cobranças,,,
0801004,Cobranças Retroativas de Reajuste de Tarifa,,,
0801005,Multa por infração,,,
092,Faturamento Conjunto,,Sim,
0921001,Faturamento Conjunto,,,
093,Cobrança Centralizada,,,Sim
0931001,Cobrança Centralizada,,,
590,Deduções,Sim,,
5901001,Descontos incondicionais,,,
5901002,Descontos condicionais,,,
5901003,Subvenção econômica/Subsidio,,,
5901004,Outras Deduções,,,
