cProdANP,Descrição,pBio,origComb,uTrib,adRemICMS
210203001,GLP,0,-,KG,1.47
210203003,PROPANO COMERCIAL,0,-,KG,1.47
210203004,PROPANO ESPECIAL,0,-,KG,1.47
210203005,BUTANO COMERCIAL,0,-,KG,1.47
320101001,GASOLINA A COMUM,1,0,L,1.57
320101002,GASOLINA A PREMIUM,1,0,L,1.57
320102001,GASOLINA C COMUM,1,1,L,1.57
320102002,GASOLINA C COMUM ADITIVADA,1,1,L,1.57
320102003,GASOLINA C PREMIUM,1,1,L,1.57
320102005,GASOLINA C PREMIUM ADITIVADA,1,1,L,1.57
320103001,GASOLINA DE REFERÊNCIA - NBR 16038,1,1,L,1.57
320103002,OUTRAS GASOLINAS AUTOMOTIVAS,1,1,L,1.57
320103003,GASOLINA DE REFERÊNCIA - PROCONVE L-6,1,1,L,1.57
320201001,GASOLINA DE AVIAÇÃO,0,0,L,1.57
320301001,OUTRAS GASOLINAS,1,1,L,1.57
320301002,GASOLINA PARA EXPORTAÇÃO,1,1,L,1.57
420101004,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO,1,0,L,1.17
420101005,ÓLEO DIESEL A S1800 NÃO RODOVIÁRIO - ADITIVADO,1,0,L,1.17
420102004,ÓLEO DIESEL A S500,1,0,L,1.17
420102005,ÓLEO DIESEL A S500 - ADITIVADO,1,0,L,1.17
420105001,ÓLEO DIESEL A S10,1,0,L,1.17
420107001,ÓLEO DIESEL C S10,1,1,L,1.17
420201001,ÓLEO DIESEL MARÍTIMO (DMA-MGO),0,0,L,1.17
420201003,ÓLEO DIESEL MARÍTIMO (DMA-MDO),0,0,L,1.17
420301002,OUTROS ÓLEOS DIESEL (Sem Adição de B100),0,0,L,1.17
810102001,ETANOL ANIDRO,0,1,L,1.57
810102003,ETANOL ANIDRO DE REFERÊNCIA - EAR,0,1,L,1.57
810102004,ETANOL ANIDRO COM CORANTE,0,1,L,1.57
820101001,BIODIESEL B100,0,1,L,1.17
820101003,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - COMUM,1,1,L,1.17
820101011,ÓLEO DIESEL B S1800 NÃO RODOVIÁRIO - ADITIVADO,1,1,L,1.17
820101012,ÓLEO DIESEL B S500 - COMUM,1,1,L,1.17
820101013,ÓLEO DIESEL B S500 - ADITIVADO,1,1,L,1.17
820101026,DIESEL B S1800 NÃO RODOVIÁRIO PARA GERAÇÃO DE ENERGIA ELÉTRICA,1,1,L,1.17
820101027,DIESEL B S500 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1,1,L,1.17
820101032,DIESEL B S10 PARA GERAÇÃO DE ENERGIA ELÉTRICA,1,1,L,1.17
820101033,ÓLEO DIESEL B S10 - ADITIVADO,1,1,L,1.17
820101034,ÓLEO DIESEL B S10 - COMUM,1,1,L,1.17
820101030,ÓLEO DIESEL S10 B20 AUTORIZATIVO,1,1,L,1.17
820101025,ÓLEO DIESEL S10 B30 AUTORIZATIVO,1,1,L,1.17
