Códigos para o campo tpInstrumento,,
Código,Descrição do Código,Observação
01,Contrato ou Instrumento particular,
02,Contrato ou instrumento particular junto ao Banco ou Instituição financeira,"ORIENTAÇÃO: Caso tenha sido celebrado anteriormente algum acordo ou ajuste, deverá ser selecionado o tipo de instrumento correspondente ao respectivo contrato preliminar, promessa, compromisso, carta de reserva com princípio de pagamento ou documento representativo de compromisso."
03,Escritura pública,"ORIENTAÇÃO: Caso tenha sido celebrado anteriormente algum acordo ou ajuste, deverá ser selecionado o tipo de instrumento correspondente ao respectivo contrato preliminar, promessa, compromisso, carta de reserva com princípio de pagamento ou documento representativo de compromisso."
04,Auto de arrematação,
05,Carta de arrematação,
06,Auto de adjudicação,
07,Carta de adjudicação,
08,Decisão Judicial,
99,Outros,
,,
,,
,,
